function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,2.800,5874483.200,nan,2,0,17494672,nmap,20,0.473,44.549,149240061.562,nan,1,1,20057624922,env,0,1.000,0.068,11179290.819,nan,1,0,0,39.667,118.485,7446112256.000,7605994057.143,87.997,89.938,nan,nan,115,1
figlet,40,1.000,6.708,9586858.667,nan,2,0,16614284,nmap,0,1.000,0.063,5188973.714,nan,1,0,0,env,0,1.000,0.067,12361728.000,nan,1,0,0,41.133,63.276,7402835968.000,7403313152.000,87.430,87.437,nan,nan,80,0
figlet,40,1.000,5.947,12548266.667,nan,1,0,7238636,nmap,0,1.000,0.066,5410816.000,nan,1,0,0,env,0,1.000,0.072,12432213.333,nan,1,0,0,38.733,53.783,7412920320.000,7408885760.000,87.564,87.515,nan,nan,30,0
figlet,40,1.000,5.962,2829038.933,nan,1,0,7210666,nmap,0,1.000,0.075,5621248.000,nan,1,0,0,env,0,1.000,0.063,12762624.000,nan,1,0,0,38.800,53.583,7404705792.000,7407747584.000,87.463,87.498,nan,nan,30,0
figlet,40,1.000,5.926,12440917.333,nan,2,0,7477552,nmap,0,1.000,0.067,5805397.333,nan,1,0,0,env,20,1.000,2.323,15072768.000,nan,1,0,6982854,39.533,65.450,7409555456.000,7410461696.000,87.516,87.525,nan,nan,25,0
figlet,40,1.000,5.625,12564480.000,nan,2,0,8229806,nmap,0,1.000,0.059,5950464.000,nan,1,0,0,env,20,1.000,2.386,5014981.486,nan,2,0,7318749,40.067,64.467,7437836288.000,7437300224.000,87.863,87.854,nan,nan,30,0
figlet,40,1.000,6.270,2465792.000,nan,2,0,7309294,nmap,0,1.000,0.063,6258858.667,nan,1,0,0,env,20,1.000,2.509,17513984.000,nan,1,0,6526581,39.000,61.050,7540531200.000,7545047552.000,89.068,89.122,nan,nan,135,0
figlet,40,1.000,6.011,5009066.667,nan,2,0,13211335,nmap,0,1.000,0.060,6438400.000,nan,1,0,0,env,40,1.000,4.435,5558237.867,nan,2,0,10560606,42.267,75.700,7587923968.000,7580088320.000,89.672,89.569,nan,nan,40,0
figlet,40,1.000,5.287,14919406.933,nan,2,0,9204936,nmap,0,1.000,0.056,6608827.733,nan,1,0,0,env,40,1.000,4.756,2886724.267,nan,2,0,8458590,42.333,72.683,7594321920.000,7584481792.000,89.745,89.624,nan,nan,30,0
figlet,40,1.000,6.779,15057237.333,nan,2,0,11156777,nmap,0,1.000,0.065,6783317.333,nan,1,0,0,env,40,1.000,4.927,2984618.667,nan,2,0,8457311,42.733,71.667,7520874496.000,7526641152.000,88.855,88.924,nan,nan,30,0
figlet,40,1.000,6.210,15057408.000,nan,1,0,8476289,nmap,0,1.000,0.059,7120554.667,nan,1,0,0,env,60,1.000,6.643,2799616.000,nan,1,0,6728878,42.267,71.350,7499847680.000,7497409536.000,88.586,88.556,nan,nan,75,0
figlet,40,1.000,5.818,2618709.333,nan,2,0,10153786,nmap,0,1.000,0.058,7307093.333,nan,1,0,0,env,60,1.000,6.230,2817536.000,nan,2,0,7963595,41.333,77.683,7517128704.000,7512271872.000,88.825,88.761,nan,nan,40,0
